protocol,src_port,dst_port,packet_length,timestamp,flags,src_ip,dst_ip,classification
6,110,47257,1111,1436447648.641097,PA,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447648.641223,A,10.0.2.15,82.161.239.177,3
6,47257,110,1111,1436447654.511861,PA,10.0.2.15,82.161.239.177,3
6,110,47257,60,1436447654.512875,A,82.161.239.177,10.0.2.15,3
6,47257,110,1514,1436447654.513150,A,10.0.2.15,82.161.239.177,3
6,47257,110,165,1436447654.513227,PA,10.0.2.15,82.161.239.177,3
6,110,47257,60,1436447654.514827,A,82.161.239.177,10.0.2.15,3
6,110,47257,597,1436447654.731951,PA,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447654.731999,A,10.0.2.15,82.161.239.177,3
6,110,47257,597,1436447654.924034,PA,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447654.924078,A,10.0.2.15,82.161.239.177,3
6,110,47257,1404,1436447654.987584,PA,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447654.987622,A,10.0.2.15,82.161.239.177,3
6,110,47257,1404,1436447655.015365,PA,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447655.015392,A,10.0.2.15,82.161.239.177,3
6,47257,110,597,1436447655.016019,PA,10.0.2.15,82.161.239.177,3
6,110,47257,60,1436447655.016651,A,82.161.239.177,10.0.2.15,3
6,110,47257,496,1436447655.128111,PA,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447655.167990,A,10.0.2.15,82.161.239.177,3
6,47257,110,1111,1436447658.603969,PA,10.0.2.15,82.161.239.177,3
6,110,47257,60,1436447658.604324,A,82.161.239.177,10.0.2.15,3
6,47257,110,597,1436447658.604465,PA,10.0.2.15,82.161.239.177,3
6,110,47257,60,1436447658.604574,A,82.161.239.177,10.0.2.15,3
6,47257,110,1111,1436447658.609809,PA,10.0.2.15,82.161.239.177,3
6,110,47257,60,1436447658.610674,A,82.161.239.177,10.0.2.15,3
6,47257,110,1514,1436447658.618664,A,10.0.2.15,82.161.239.177,3
6,47257,110,165,1436447658.618789,PA,10.0.2.15,82.161.239.177,3
6,110,47257,60,1436447658.619574,A,82.161.239.177,10.0.2.15,3
6,110,47257,597,1436447658.791959,PA,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447658.792005,A,10.0.2.15,82.161.239.177,3
6,110,47257,1404,1436447658.889399,PA,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447658.889437,A,10.0.2.15,82.161.239.177,3
6,110,47257,1474,1436447658.895894,A,82.161.239.177,10.0.2.15,3
6,47257,110,54,1436447658.895916,A,10.0.2.15,82.161.239.177,3
6,110,47257,1334,1436447658.895954,PA,82.161.239.177,10.0.2.15,3
