protocl,src,dst,classfication
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
0,0,0,3
0,0,0,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
0,0,0,3
0,0,0,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
0,0,0,3
0,0,0,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
